,Category,Subcategory,Subsubcategory,Producto,Cantidad,Precio
0,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,19.2
1,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,"Aceite de oliva 0,4º Hacendado",Botella 1 L,3.9
2,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,12.7
3,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Botella 1 L,4.25
4,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,4.5
5,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva 1º Hacendado,Garrafa 5 L,19.2
6,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva 1º Hacendado,Botella 1 L,3.9
7,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Garrafa 3 L,12.45
8,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Botella 1 L,4.2
9,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.15
10,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,4.1
11,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,12.5
12,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,2.55
13,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz",Aceite de coco virgen Hacendado,Bote 450 ml,4.5
14,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de vino blanco Hacendado,Botella 1 L,0.55
15,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre balsámico de Módena Hacendado,Botella 250 ml,1.1
16,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de manzana Hacendado,Botella 1 L,0.62
17,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Limón exprimido Hacendado,Botella 280 ml,0.95
18,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,1.6
19,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de Jerez reserva Hacendado,Botella 250 ml,1.6
20,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,2.0
21,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,2.15
22,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,"Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,2.0
23,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Crema de vinagre balsámico de manzana Hacendado,Botella 250 g,2.3
24,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal fina Hacendado,Paquete 1 kg,0.25
25,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal fina de mesa Hacendado,Bote 250 g,0.4
26,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal yodada fina Hacendado,Paquete 1 kg,0.25
27,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal gruesa Hacendado,Paquete 1 kg,0.25
28,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Bicarbonato sódico Hacendado,Paquete 1 kg,1.35
29,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Bicarbonato sódico Hacendado,Bote 300 g,0.9
30,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal marina en escamas Polasal,Bote 125 g,1.95
31,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal gruesa para hornear Hacendado,Paquete 2 kg,0.75
32,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal de ajo Hacendado,Bote 130 g,1.35
33,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal de frutas sabor limón Hacendado,Bote 250 g,1.75
34,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal 60% menos de sodio Hacendado,Bote 250 g,1.75
35,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Preparado para salmón ahumado Hacendado,Bote 750 g,3.3
36,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal rosa del Himalaya Hacendado,Bote 250 g,1.8
37,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla sin sal añadida Hacendado,Pastilla 250 g,1.95
38,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla Tradicional Asturiana,Tarrina 250 g,3.15
39,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla en porciones Hacendado sin sal añadida,"12 ud. x 12,5 g",1.55
40,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla con sal Hacendado,Pastilla 250 g,1.95
41,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla con sal Hacendado,Tarrina 250 g,2.3
42,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla ligera President,Tarrina 250 g,2.6
43,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Mantequilla sin lactosa Hacendado,Tarrina 250 g,2.3
44,"Huevos, leche y mantequilla",Mantequilla y margarina,Mantequilla,Manteca de cerdo Mont-Palau para cocinar,Tarrina 400 g,2.05
45,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina Hacendado,Tarrina 500 g,1.55
46,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina Tulipán Original,Tarrina 400 g,2.95
47,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina con sal Hacendado,Tarrina 500 g,1.55
48,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina ligera Hacendado,Tarrina 500 g,1.5
49,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina Flora Proactiv,Tarrina 225 g,2.95
50,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina con sal Tulipán,Tarrina 400 g,2.95
51,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina 100% vegetal Hacendado,Tarrina 250 g,1.35
52,"Huevos, leche y mantequilla",Mantequilla y margarina,Margarina,Margarina Flora Original,Tarrina 400 g,3.45
53,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata ligera para cocinar Hacendado,3 mini bricks x 200 ml,1.55
54,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata ligera para cocinar Hacendado,Brick 500 ml,1.25
55,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata montada azucarada Hacendado,Spray 250 g,1.2
56,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata para montar Hacendado,Brick 500 ml,1.45
57,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata para montar Hacendado,3 mini bricks x 200 ml,1.75
58,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata fresca para cocinar Hacendado,Tarrina 200 ml,1.05
59,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Leche evaporada Hacendado,3 mini bricks x 200 ml,1.6
60,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Crema de soja Hacendado,Brick 200 ml,1.0
61,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Leche de coco Dee Thai,Bote 400 ml,1.5
62,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata montada azucarada sin lactosa Hacendado,Spray 250 g,1.7
63,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata,Nata ligera para cocinar sin lactosa Hacendado,3 mini bricks x 200 ml,2.2
64,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa jabón natural de Marsella Bosque Verde líquido,Botella 46 lavados (3 L),3.5
65,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Frescura Azul Bosque Verde líquido,Botella 46 lavados (3 L),3.5
66,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Blanca y de Color Bosque Verde en gel concentrado,Botella 27 lavados (810 ml),3.3
67,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Frescor de Colonia Bosque Verde líquido,Botella 46 lavados (3 L),3.5
68,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa de Color Bosque Verde líquido,Botella 46 lavados (3 L),4.5
69,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa jabón de Marsella Bosque Verde en gel concentrado,Botella 27 lavados (810 ml),3.3
70,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Blanca y de Color Bosque Verde líquido concentrado,Botella 46 lavados (3 L),6.1
71,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Prendas Delicadas Bosque Verde líquido,"Botella 66 lavados (1,98 L)",2.55
72,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa fragancia Nenuco Colon en gel,"Botella 45 lavados (2,25 L)",6.5
73,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Ariel total líquido,"Botella 26 lavados (1,43 L)",5.8
74,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Pieles Sensibles Bosque Verde líquido,"Botella 66 lavados (1,98 L)",4.8
75,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Frescor Vernel Wipp Express líquido,"Botella 33 lavados (1,65 L)",6.0
76,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa Adiós al Separar Micolor en gel,"Botella 30 lavados (1,5 L)",5.6
77,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Detergente ropa oscura Bosque Verde líquido,"Botella 30 lavados (1,95 L)",4.65
78,Limpieza y hogar,Detergente y suavizante ropa,Detergente líquido y gel,Desinfectante Tejidos y Lavadora Bosque Verde sin lejía,Botella 1 L,2.0
79,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa blanca y de color Bosque Verde en polvo,"Caja 70 lavados (5,25 kg)",9.3
80,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa blanca y de color Bosque Verde en polvo,"Caja 35 lavados (2,63 kg)",4.5
81,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa Blanca Puntomatic en pastillas,Paquete 8 pastillas (248 g),0.95
82,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa All in 1 Ariel en cápsulas,"Caja 26 cápsulas (655,2 g)",7.75
83,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa jabón de Marsella Bosque Verde en polvo,"Caja 70 lavados (4,55 kg)",7.3
84,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa jabón de Marsella Bosque Verde en polvo,"Caja 35 lavados (2,28 kg)",3.55
85,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa Blanca y de Color Bosque Verde en cápsulas,"Caja 24 cápsulas (638,4 g)",4.95
86,Limpieza y hogar,Detergente y suavizante ropa,Detergente en polvo y monodosis,Detergente ropa Ariel en polvo,"Caja 30 lavados (1,95 kg)",6.99
87,Limpieza y hogar,Detergente y suavizante ropa,Detergente lavado a mano,Detergente Lavado a Mano Bosque Verde en polvo,Caja 650 g,1.15
88,Limpieza y hogar,Detergente y suavizante ropa,Detergente lavado a mano,Jabón Natural con glicerina Bosque Verde,Paquete 2 pastillas (400 g),1.2
89,Limpieza y hogar,Detergente y suavizante ropa,Detergente lavado a mano,Detergente Lavado a Mano Bosque Verde líquido,Botella 1 L,2.1
90,Limpieza y hogar,Detergente y suavizante ropa,Detergente lavado a mano,Jabón en escamas Capricho con aceite de coco y glicerina,Paquete 500 g,2.2
91,Limpieza y hogar,Detergente y suavizante ropa,Quitamanchas,Eliminador de olores higienizante tejidos Bosque Verde,Botella 500 ml,2.05
92,Limpieza y hogar,Detergente y suavizante ropa,Quitamanchas,Toallitas lavadora Bosque Verde acción 2 en 1,Paquete 20 ud.,1.95
93,Limpieza y hogar,Detergente y suavizante ropa,Quitamanchas,Jabón blando natural Beltrán,Bote 500 g,2.4
94,Limpieza y hogar,Detergente y suavizante ropa,Quitamanchas,Disuelve manchas Bosque Verde,Botella 750 ml,2.0
95,Limpieza y hogar,Detergente y suavizante ropa,Quitamanchas,Quitamanchas de desteñidos La Nave sin lejía,Caja 4 sobres (100 g),2.75
96,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Activador quitamanchas ropa de color Oxi Active Bosque Verde en polvo,Bote 1 kg,3.1
97,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Activador Blanqueante ropa blanca Bosque Verde en polvo,Bote 1 kg,3.1
98,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Activador del lavado ropa de color Oxi Active Bosque Verde en gel,Botella 2 L,1.7
99,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Activador del lavado ropa blanca Oxi Active Bosque Verde en gel,Botella 2 L,1.7
100,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Quitamanchas Oxi Active Bosque Verde en gel,Botella 1 L,2.25
101,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Percarbonato blanqueante Bosque Verde,Paquete 750 g,1.85
102,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Limpia lavadoras Bosque Verde líquido,Botella 250 ml,2.0
103,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Pastillas Antical para lavadora Bosque Verde,Caja 40 pastillas,3.25
104,Limpieza y hogar,Detergente y suavizante ropa,Activador y antical lavadora,Blanqueador de ropa La Nave en polvo,Caja 6 sobres (120 g),1.8
105,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Azul Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
106,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Talco Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
107,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Spa Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
108,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Nutrive Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
109,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Floral Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
110,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Hipoalergénico Bosque Verde concentrado,Botella 40 lavados (1 L),1.6
111,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Suavizante ropa Dulzzia Bosque Verde concentrado,Botella 80 lavados (2 L),1.9
112,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Toallitas suavizantes para secadora Bosque Verde,Paquete 40 ud.,2.95
113,Limpieza y hogar,Detergente y suavizante ropa,Suavizante,Perfumador ropa Bosque Verde intensificador de fragancia,Botella 36 lavados (720 ml),3.15
114,Limpieza y hogar,Detergente y suavizante ropa,Planchado,Agua destilada Bosque Verde,Garrafa 5 L,2.0
115,Limpieza y hogar,Detergente y suavizante ropa,Planchado,Agua destilada Bosque Verde,Botella 2 L,0.9
116,Limpieza y hogar,Detergente y suavizante ropa,Planchado,Agua de plancha Bosque Verde perfume ropa limpia,Botella 1 L,0.65
117,Limpieza y hogar,Detergente y suavizante ropa,Planchado,Planchado fácil Bosque Verde,Botella 750 ml,1.95
118,Limpieza y hogar,Detergente y suavizante ropa,Planchado,Apresto Bosque Verde instantáneo,Spray 500 ml,2.0
119,Limpieza y hogar,Limpiacristales,Limpiacristales,Toallita seca antivaho Bosque Verde reutilizable,Paquete 1 ud.,1.1
120,Limpieza y hogar,Limpiacristales,Limpiacristales,Limpiacristales y multiusos Bosque Verde,Botella 1 L,1.15
